Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count,Category
0,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
1,Morgan Stanley,Portfolio Associate,﻿Payments,17,Fintech
2,Morgan Stanley,Fixed Income Risk & Analytics Strategist,﻿Payments,15,Fintech
3,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
4,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
5,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
6,Morgan Stanley,Credit Risk Analyst - CCSF & Illiquid Collateral Lending,Lending,38,Fintech
7,Morgan Stanley,State and Local Tax Manager,Planning,42,Fintech
8,Morgan Stanley,Consulting Group Analyst,Non-FinTech,10,Nonfintech
9,Morgan Stanley,Equity Trade Surveillance and Oversight Vice President,﻿Payments,25,Fintech
10,Morgan Stanley,Equity Trade Surveillance and Oversight,﻿Payments,23,Fintech
11,Morgan Stanley,Senior Registered Associate,﻿Payments,18,Fintech
12,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
13,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
14,Morgan Stanley,PWM Intern,Non-FinTech,11,Nonfintech
15,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
16,Morgan Stanley,College Summer Intern *,Non-FinTech,11,Nonfintech
17,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
18,Morgan Stanley,AIP Private Equity Fund of Fund Analyst - MSIM,Lending,39,Fintech
19,Morgan Stanley,Cash Settlements Director,﻿Payments,36,Fintech
20,Morgan Stanley,International Equity Portfolio Specialist - MSIM,﻿Payments,22,Fintech
21,Morgan Stanley,Wealth Management Associate,﻿Payments,20,Fintech
22,Morgan Stanley,"Branch Manager, Producing",﻿Payments,21,Fintech
23,Morgan Stanley,Executive Assistant - Re-Engineering and Expense Management Third Party Program Management,Non-FinTech,13,Nonfintech
24,Morgan Stanley,Treasury Management - Project Management Office Associate,﻿Payments,34,Fintech
25,Morgan Stanley,Corporate Services - Global Head of Digital Creative - Vice President,﻿Payments,59,Fintech
26,Morgan Stanley,Research Management Data Analyst,Lending,16,Fintech
27,Morgan Stanley,Global Travel Product Solutions & Innovation Manager - Vice President,Big Data,43,Fintech
28,Morgan Stanley,Construction Sourcing Vice President - Americas,﻿Payments,15,Fintech
29,Morgan Stanley,Vendor Risk Program Support Analyst,﻿Payments,22,Fintech
30,Morgan Stanley,"Senior Manager, Third Party Program Management Tools, Process & Communications Support",Blockchain,28,Fintech
31,Morgan Stanley,"Vice President, Vendor Risk Program Management",﻿Payments,33,Fintech
32,Morgan Stanley,"Risk Officer, Vice President",Lending,32,Fintech
33,Morgan Stanley,Alternative Investment Services Specialist,﻿Payments,35,Fintech
34,Morgan Stanley,Investment Banking Vice President - Los Angeles,﻿Payments,18,Fintech
35,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
36,Morgan Stanley,Wealth Management Associate,﻿Payments,20,Fintech
37,Morgan Stanley,Trading Operations Vice President - Institutional Securities Group Product Operations,﻿Payments,60,Fintech
38,Morgan Stanley,Global Funding Controllers- Global Reporting,﻿Payments,23,Fintech
39,Morgan Stanley,MRD Commodities Risk Manager - Seeking Analyst or Associate,Blockchain,29,Fintech
40,Morgan Stanley,Institutional Securities Loan Product Controller,﻿Payments,30,Fintech
41,Morgan Stanley,Global Surveillance Change Management Professional,﻿Payments,43,Fintech
42,Morgan Stanley,"Associate, SPG Middle Tier Developer",Lending,23,Fintech
43,Morgan Stanley,"Vice President, CCAR Modeling",Blockchain,19,Fintech
44,Morgan Stanley,Bank AML Project Management Associate,Planning,15,Fintech
45,Morgan Stanley,Compliance Vice President,﻿Payments,27,Fintech
46,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
47,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
48,Morgan Stanley,Business Service Manager,﻿Payments,21,Fintech
49,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
50,Morgan Stanley,Business Service Manager,﻿Payments,21,Fintech
51,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
52,Morgan Stanley,Business Service Manager,﻿Payments,21,Fintech
53,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
54,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
55,Morgan Stanley,Associate - Regulatory Reporting,Blockchain,25,Fintech
56,Morgan Stanley,"Investment Management Wealth Advisor Channel, Internal Sales Specialist",﻿Payments,29,Fintech
57,Morgan Stanley,"Relationship Manager, Investment Management",﻿Payments,49,Fintech
58,Morgan Stanley,Client Service Associate/Desk Assistant,﻿Payments,22,Fintech
59,Morgan Stanley,Intern*,Non-FinTech,11,Nonfintech
60,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
61,Morgan Stanley,Trading Operations Specialist - Institutional Securities Group Product Operations,﻿Payments,46,Fintech
62,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
63,Morgan Stanley,Portfolio Management Associate Director,﻿Payments,15,Fintech
64,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
65,Morgan Stanley,Tax Manager - Alternative Investments/Fund of Funds,Planning,35,Fintech
66,Morgan Stanley,PWM Client Service Associate,Non-FinTech,4,Nonfintech
67,Morgan Stanley,Complex Risk Officer,Lending,30,Fintech
68,Morgan Stanley,Complex Risk Officer,Lending,30,Fintech
69,Morgan Stanley,Intern*,Non-FinTech,11,Nonfintech
70,Morgan Stanley,Fixed Income Risk & Analytics Strategist,﻿Payments,15,Fintech
71,Morgan Stanley,Fixed Income Sales Analytics Quant Strategist,Non-FinTech,14,Nonfintech
72,Morgan Stanley,PWM Complex Risk Officer,Lending,30,Fintech
73,Morgan Stanley,"Derivatives Trade Support, Associate- Investment Management Operations",Lending,33,Fintech
74,Morgan Stanley,"Credit Risk Specialist, Loans & Derivatives Ã Associate",Lending,28,Fintech
75,Morgan Stanley,"Recordkeeping, Outsourcing and Vendor Management Compliance Officer",﻿Payments,27,Fintech
76,Morgan Stanley,Business Development Associate,Non-FinTech,9,Nonfintech
77,Morgan Stanley,Global Operations Analyst/Associate,Blockchain,38,Fintech
78,Morgan Stanley,Equity Research - Associate,Lending,15,Fintech
79,Morgan Stanley,Financing and Collateral Operations Manager - Institutional Securities Group Product Operations,﻿Payments,26,Fintech
80,Morgan Stanley,"Business Service Manager, PWM",﻿Payments,21,Fintech
81,Morgan Stanley,"Global Drafting Head of Commodities Confirmations, Vice President - Institutional Securities Group Product Operations",﻿Payments,53,Fintech
82,Morgan Stanley,Internal Audit Senior Manager-Wealth Management Investment Product Services,Lending,31,Fintech
83,Morgan Stanley,Consulting Group Analyst,Non-FinTech,10,Nonfintech
84,Morgan Stanley,BRM Trader - Vice President,﻿Payments,24,Fintech
85,Morgan Stanley,Senior Registered Service Associate,Non-FinTech,13,Nonfintech
86,Morgan Stanley,Receptionist,Non-FinTech,0,Nonfintech
87,Morgan Stanley,Client Service Associate,﻿Payments,19,Fintech
88,Morgan Stanley,Resident Manager,﻿Payments,17,Fintech
89,Morgan Stanley,IT Auditor - Wealth Management,﻿Payments,20,Fintech
90,Morgan Stanley,Associate - MRM Quality Assurance,Blockchain,20,Fintech
91,Morgan Stanley,"Global Capital Markets, Roadshow Coordinator, Hong Kong",﻿Payments,19,Fintech
92,Morgan Stanley,"Investment Management Compliance Director/Vice President, Singapore",﻿Payments,34,Fintech
93,Morgan Stanley,"VP, CRM Product Management",﻿Payments,34,Fintech
94,Morgan Stanley,"VP, CRM Product Management",﻿Payments,34,Fintech
95,Morgan Stanley,BRM Desk Strategist,Non-FinTech,12,Nonfintech
96,Morgan Stanley,Legal Entity Financial Reporting,Lending,16,Fintech
97,Morgan Stanley,CRM Product Manager,﻿Payments,34,Fintech
98,Morgan Stanley,CRM Product Manager,﻿Payments,41,Fintech
99,Morgan Stanley,Lead Recruiter - Campus Diversity & University Relationship Management (Manager/Director),Non-FinTech,12,Nonfintech
100,Morgan Stanley,BRM Strategy & COO Group,Non-FinTech,13,Nonfintech
101,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
102,Morgan Stanley,SPG Commercial Desk Strategist / Generic,﻿Payments,22,Fintech
103,Morgan Stanley,Wealth Management Credit Complex Strategist,Non-FinTech,8,Nonfintech
104,Morgan Stanley,Senior Investor Services Representative,﻿Payments,62,Fintech
105,Morgan Stanley,Credit Complex Sales Strategist,﻿Payments,22,Fintech
106,Morgan Stanley,Senior Quantitative Strategist / Developer,﻿Payments,20,Fintech
107,Morgan Stanley,Muni Trading Desk Strategist,﻿Payments,20,Fintech
108,Morgan Stanley,Swaps Strategist,Non-FinTech,10,Nonfintech
109,Morgan Stanley,Advisory Platforms Ã UAT Lead,﻿Payments,24,Fintech
110,Morgan Stanley,Field Risk Intelligence Officer,Lending,41,Fintech
111,Morgan Stanley,Credit Capital Analyst in our Risk Management Department,Blockchain,17,Fintech
112,Morgan Stanley,Legal Entity Management Officer,﻿Payments,33,Fintech
113,Morgan Stanley,Branch Administrator,Non-FinTech,7,Nonfintech
114,Morgan Stanley,Registered Associate*,﻿Payments,18,Fintech
115,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
116,Morgan Stanley,Registered Associate - Great Lakes*,﻿Payments,18,Fintech
117,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
118,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
119,Morgan Stanley,Intern*,Non-FinTech,11,Nonfintech
120,Morgan Stanley,Portfolio Management Associate Director,﻿Payments,15,Fintech
121,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
122,Morgan Stanley,Intern*,Non-FinTech,11,Nonfintech
123,Morgan Stanley,Intern*,Non-FinTech,11,Nonfintech
124,Morgan Stanley,Registered Associate *,﻿Payments,18,Fintech
125,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
126,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
127,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
128,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
129,Morgan Stanley,Registered Associate *,﻿Payments,18,Fintech
130,Morgan Stanley,Infrastructure System Support Controller,﻿Payments,16,Fintech
131,Morgan Stanley,Fixed Income Trade Support Director (AVP),﻿Payments,25,Fintech
132,Morgan Stanley,Director- CTB,﻿Payments,38,Fintech
133,Morgan Stanley,Manager- Document Extraction (Intake support),﻿Payments,21,Fintech
134,Morgan Stanley,IEDÃ Regulatory Control Group Ã Vice President/ Senior Associate,Blockchain,50,Fintech
135,Morgan Stanley,Senior Business Intelligence Analyst,﻿Payments,25,Fintech
136,Morgan Stanley,Head of Finance and Operations Ã North Haven Real Estate Funds,﻿Payments,32,Fintech
137,Morgan Stanley,Intern*,Non-FinTech,11,Nonfintech
138,Morgan Stanley,Aviation Finance Manager - Securitized Products Group,﻿Payments,28,Fintech
139,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
140,Morgan Stanley,"Branch Manager, Producing",﻿Payments,21,Fintech
141,Morgan Stanley,Fixed Income Compliance Officer - Director/Vice President,﻿Payments,41,Fintech
142,Morgan Stanley,Market Risk Manager - Vice President,Blockchain,38,Fintech
143,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
144,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
145,Morgan Stanley,Global Financial Crimes: AML Investigations Professional,﻿Payments,25,Fintech
146,Morgan Stanley,Vice President Ã Cybersecurity and Technology Risk (Operational Risk),Blockchain,57,Fintech
147,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
148,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
149,Morgan Stanley,Business Development Director,Non-FinTech,14,Nonfintech
150,Morgan Stanley,Intern*,Non-FinTech,11,Nonfintech
151,Morgan Stanley,Management Reporting Business Analyst,Big Data,23,Fintech
152,Morgan Stanley,Internal Audit Risk Mgmt Capital Planning,Blockchain,24,Fintech
153,Morgan Stanley,IT Auditor,﻿Payments,20,Fintech
154,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
155,Morgan Stanley,Internal Audit Risk Management Capital Planning,Blockchain,44,Fintech
156,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
157,Morgan Stanley,IBD / GCM Lawyer Vice President,﻿Payments,28,Fintech
158,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
159,Morgan Stanley,Intern*,Non-FinTech,11,Nonfintech
160,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
161,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
162,Morgan Stanley,Client Service Associate,﻿Payments,19,Fintech
163,Morgan Stanley,"Head of Strategy for Global Trading Operations, Business Management - Vice President",﻿Payments,36,Fintech
164,Morgan Stanley,Associate- GFC: Anti-Corruption / Government and Political Activities,﻿Payments,15,Fintech
165,Morgan Stanley,Manager- LCD Administration & Operations,﻿Payments,22,Fintech
166,Morgan Stanley,"Global Financial Crimes, Institutional Securities Group (ISG) Coverage, Analyst/ Associate (Hong Kong)",﻿Payments,29,Fintech
167,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
168,Morgan Stanley,"Vice President Ã Advanced Analytics Decision Sciences, Retail-Consumer Banking",Big Data,49,Fintech
169,Morgan Stanley,Fixed Income Global Capital Markets Compliance Advisory,﻿Payments,33,Fintech
170,Morgan Stanley,Service Associate,Non-FinTech,12,Nonfintech
171,Morgan Stanley,Registered Associate *,﻿Payments,18,Fintech
172,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
173,Morgan Stanley,Trading Operations Manager - Institutional Securities Group Product Operations,﻿Payments,24,Fintech
174,Morgan Stanley,Service Team Analyst - International Central Processing Unit,Non-FinTech,8,Nonfintech
175,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
176,Morgan Stanley,Global Banking Service Director,﻿Payments,65,Fintech
177,Morgan Stanley,Lean Operations Director,﻿Payments,47,Fintech
178,Morgan Stanley,Derivatives Funding Controller,﻿Payments,20,Fintech
179,Morgan Stanley,EMEA Divisional Management Operations Specialist: Associate,Blockchain,26,Fintech
180,Morgan Stanley,ISG Client Ops Associate,﻿Payments,39,Fintech
181,Morgan Stanley,Corporate Services Senior Strategist,﻿Payments,34,Fintech
182,Morgan Stanley,Tax Manager - UK & EMEA,Planning,40,Fintech
183,Morgan Stanley,Tax Reporting Associate,Planning,39,Fintech
184,Morgan Stanley,Legal Entity Controller Associate,﻿Payments,25,Fintech
185,Morgan Stanley,EMEA Client Asset Protection Associate,﻿Payments,32,Fintech
186,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
187,Morgan Stanley,PWM Client Service Associate,Non-FinTech,4,Nonfintech
188,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
189,Morgan Stanley,Remuneration Governance Specialist,﻿Payments,21,Fintech
190,Morgan Stanley,HR Solutions Officer,﻿Payments,40,Fintech
191,Morgan Stanley,Analyst - TTRO,﻿Payments,32,Fintech
192,Morgan Stanley,Electronic trading Risk Manager - Vice President / Executive Director,Blockchain,47,Fintech
193,Morgan Stanley,Internal Auditor Risk Management - Frankfurt,Blockchain,28,Fintech
194,Morgan Stanley,"Investment Management, Private Equity Analyst /Associate, Thailand",Lending,22,Fintech
195,Morgan Stanley,"Prime Brokerage, Business Consulting Services, Associate/VP, Hong Kong",﻿Payments,26,Fintech
196,Morgan Stanley,Cash Client Processing Associate,﻿Payments,27,Fintech
197,Morgan Stanley,Senior Registered Associate,﻿Payments,18,Fintech
198,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
199,Morgan Stanley,Fraud Operations Analytics Director - Firmwide Operations.,﻿Payments,49,Fintech
200,Morgan Stanley,Interest Rates Valuation Risk Controller,﻿Payments,24,Fintech
201,Morgan Stanley,Structured Rates Desk Strategist,Non-FinTech,8,Nonfintech
202,Morgan Stanley,Registered Service Associate - Great Lakes,Non-FinTech,12,Nonfintech
203,Morgan Stanley,eRates Desk Strategist,Non-FinTech,11,Nonfintech
204,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
205,Morgan Stanley,Registered Service Associate - Great Lakes,Non-FinTech,13,Nonfintech
206,Morgan Stanley,Registered Associate*,﻿Payments,18,Fintech
207,Morgan Stanley,Global Workplace Experience Manager - Executive Director,﻿Payments,57,Fintech
208,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
209,Morgan Stanley,Portfolio Management Associate,Non-FinTech,14,Nonfintech
210,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
211,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
212,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
213,Morgan Stanley,Associate-Sanctions Screening,﻿Payments,35,Fintech
214,Morgan Stanley,Associate- Company Secretary,Non-FinTech,14,Nonfintech
215,Morgan Stanley,Director- Policy & Training- Core Compliance Team,Non-FinTech,11,Nonfintech
216,Morgan Stanley,Associate- Wealth Management & Institutional Securities Group Ã Intake support,Non-FinTech,13,Nonfintech
217,Morgan Stanley,Manager- Vendor Management Operations,Blockchain,23,Fintech
218,Morgan Stanley,Manager- Sourcing Contracts,﻿Payments,19,Fintech
219,Morgan Stanley,Vice President - ISG QC Testing,﻿Payments,22,Fintech
220,Morgan Stanley,Manager-GFC Policies and Training,﻿Payments,31,Fintech
221,Morgan Stanley,"Vice President, Third Party Program Manager (TPPM) Asia Regional Coverage",Blockchain,31,Fintech
222,Morgan Stanley,"Vice President, Third Party Program Manager (TPPM) Asia Regional Coverage",Blockchain,31,Fintech
223,Morgan Stanley,"Manager, Third Party Program Manager (TPPM) Asia Regional Coverage",Lending,27,Fintech
224,Morgan Stanley,"Head of Private Wealth Management Asia Compliance, Singapore Branch",﻿Payments,28,Fintech
225,Morgan Stanley,Client Service Associate,﻿Payments,19,Fintech
226,Morgan Stanley,Associate Ã Appraisal Management Coordinator (Commercial Real Estate),Lending,30,Fintech
227,Morgan Stanley,Registered Associate,﻿Payments,16,Fintech
228,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
229,Morgan Stanley,Business Service Manager,﻿Payments,21,Fintech
230,Morgan Stanley,Marketing Campaign Manager,﻿Payments,19,Fintech
231,Morgan Stanley,Business Development Manager,Non-FinTech,7,Nonfintech
232,Morgan Stanley,Client Service Associate,﻿Payments,19,Fintech
233,Morgan Stanley,Cybersecurity-Technology Audit Manager,﻿Payments,27,Fintech
234,Morgan Stanley,Administrative Assistant,﻿Payments,17,Fintech
235,Morgan Stanley,Prime Brokerage Desk Assistant (Ops Spec. Line),﻿Payments,43,Fintech
236,Morgan Stanley,Associate - Counterparty Credit Risk (Funds Coverage Team),Lending,51,Fintech
237,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
238,Morgan Stanley,"GMA and PSG Portfolio Services, Associate - Investment Management Operations",﻿Payments,62,Fintech
239,Morgan Stanley,Advisory Billing Modernization,﻿Payments,25,Fintech
240,Morgan Stanley,Advisory Billing Modernization,﻿Payments,25,Fintech
241,Morgan Stanley,Complex Business Service Officer,﻿Payments,25,Fintech
242,Morgan Stanley,Wealth Management Associate *,﻿Payments,20,Fintech
243,Morgan Stanley,Client Service Associate,﻿Payments,19,Fintech
244,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
245,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
246,Morgan Stanley,Branch Administrator,Non-FinTech,7,Nonfintech
247,Morgan Stanley,Branch Administrator,Non-FinTech,7,Nonfintech
248,Morgan Stanley,Commodities Trade Support - Associate,﻿Payments,50,Fintech
249,Morgan Stanley,Loan Operations/Services - AVP,﻿Payments,35,Fintech
250,Morgan Stanley,"Derivative Clearing Operations, Client Service Group - AVP",﻿Payments,32,Fintech
251,Morgan Stanley,Client Reporting Operations - Analyst,﻿Payments,40,Fintech
252,Morgan Stanley,"Singapore Branch Operations, Department Manager - Executive Director",﻿Payments,22,Fintech
253,Morgan Stanley,Brand and Marketing Manager,﻿Payments,78,Fintech
254,Morgan Stanley,Risk Premia Investment Analyst to Senior Associate,Lending,36,Fintech
255,Morgan Stanley,Global Head of Corporate Services Vendor Transformation,﻿Payments,47,Fintech
256,Morgan Stanley,PWM Senior Registered Associate,﻿Payments,18,Fintech
257,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
258,Morgan Stanley,Equity Research - Latin American Consumer Retail & Ecommerce,Lending,24,Fintech
259,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
260,Morgan Stanley,Internal Audit - Fixed Income - Vice President,﻿Payments,18,Fintech
261,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
262,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
263,Morgan Stanley,"Associate, Data Network Operations Engineer",﻿Payments,19,Fintech
264,Morgan Stanley,"AVP, Operational Risk",Lending,33,Fintech
265,Morgan Stanley,Legal Analyst - Bank Governance,﻿Payments,22,Fintech
266,Morgan Stanley,Equity Research Administrative Assistant,﻿Payments,19,Fintech
267,Morgan Stanley,Tuning / Optimization Quantitative Lead,﻿Payments,38,Fintech
268,Morgan Stanley,"Vice President, Technical Lead",Blockchain,22,Fintech
269,Morgan Stanley,Assistant Vice President,Lending,39,Fintech
270,Morgan Stanley,Interest Rates Product Controller,Lending,21,Fintech
271,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
272,Morgan Stanley,529 Product Manager,﻿Payments,20,Fintech
273,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
274,Morgan Stanley,Senior HR Business Partner,﻿Payments,24,Fintech
275,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
276,Morgan Stanley,Business Service Manager,﻿Payments,21,Fintech
277,Morgan Stanley,Analyst - DSP,Big Data,15,Fintech
278,Morgan Stanley,Multi-Asset & Solutions Ã Systematic Strategies Portfolio Manager,Lending,26,Fintech
279,Morgan Stanley,Multi-Asset & Solutions Ã Structured Investments Portfolio Manager,Lending,27,Fintech
280,Morgan Stanley,"Exchange Traded Products,Transaction Management Group, Associate / Vice President",﻿Payments,16,Fintech
281,Morgan Stanley,"Team Manager, Security settlements",﻿Payments,19,Fintech
282,Morgan Stanley,Prime Brokerage - Director,﻿Payments,48,Fintech
283,Morgan Stanley,Supplier Risk Operations Manager,﻿Payments,35,Fintech
284,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
285,Morgan Stanley,Human Resources Business Partner - Fixed Income,Blockchain,24,Fintech
286,Morgan Stanley,Morgan Stanley Bank National Association Controllers- Financial Reporting Associate,Non-FinTech,12,Nonfintech
287,Morgan Stanley,Analyst - Market / MRMO DQ,Blockchain,38,Fintech
288,Morgan Stanley,"Branch Manager, Non Producing",﻿Payments,17,Fintech
289,Morgan Stanley,Associate Regional Business Service Officer,Security,18,Fintech
290,Morgan Stanley,Resident Manager,﻿Payments,17,Fintech
291,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
292,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
293,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
294,Morgan Stanley,Service Associate,Non-FinTech,12,Nonfintech
295,Morgan Stanley,"Business Analyst, Outsourcing Risk Management EMEA Lead - Manager",Blockchain,36,Fintech
296,Morgan Stanley,"EMEA Third Party Programme Management, Senior Manager",Lending,27,Fintech
297,Morgan Stanley,"Institutional Equity Division, Equity Delta One Strategist, Hong Kong",Non-FinTech,10,Nonfintech
298,Morgan Stanley,"Technology and Business Transformation Manager Asia, Hong Kong",﻿Payments,55,Fintech
299,Morgan Stanley,Regulatory Control Group - Non-Market Risk Associate,Blockchain,25,Fintech
300,Morgan Stanley,Administrative Assistant,Non-FinTech,8,Nonfintech
301,Morgan Stanley,Financial Planning Product ManagerÃ Financial Planning,﻿Payments,30,Fintech
302,Morgan Stanley,Financial Planning Business Analyst Ã Goals Based Planning Tool,﻿Payments,23,Fintech
303,Morgan Stanley,Financial Planning Product Development Associate Ã Goals Based Planning Tool Analytics,Big Data,32,Fintech
304,Morgan Stanley,Senior Registered Service Associate - Great Lakes,Non-FinTech,13,Nonfintech
305,Morgan Stanley,Corporate Services Business Intelligence Analyst - Director,﻿Payments,39,Fintech
306,Morgan Stanley,"Finance EMEA COO, Associate/Manager",Lending,21,Fintech
307,Morgan Stanley,Coverage Attorney for Mutual Funds and other Registered Products,﻿Payments,37,Fintech
308,Morgan Stanley,"Finance Risk Controller, Associate",Blockchain,38,Fintech
309,Morgan Stanley,"Morgan Stanley Investment Management (MSIM) Finance, Associate",﻿Payments,25,Fintech
310,Morgan Stanley,"Liquidity & Funding Controller, Senior Manager",﻿Payments,29,Fintech
311,Morgan Stanley,"Legal Entity Controller, Analyst",﻿Payments,20,Fintech
312,Morgan Stanley,"Legal Entity Controller, Associate",﻿Payments,20,Fintech
313,Morgan Stanley,"Regulatory Capital and Accounting Policy Advisor, Senior Manager",﻿Payments,48,Fintech
314,Morgan Stanley,Credit Risk Regulatory Controller,Lending,27,Fintech
315,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
316,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
317,Morgan Stanley,"Vice President, UX Development",Blockchain,22,Fintech
318,Morgan Stanley,Team Administrative Assistant*,Non-FinTech,5,Nonfintech
319,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
320,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
321,Morgan Stanley,Client Service Associate,﻿Payments,19,Fintech
322,Morgan Stanley,Corporate Services:Head of Engineering _India,Blockchain,24,Fintech
323,Morgan Stanley,EMEA Divisional Management - Vice President,﻿Payments,23,Fintech
324,Morgan Stanley,Analyst :Market / Counterparty Risk Stress Testing,Non-FinTech,4,Nonfintech
325,Morgan Stanley,Associate - India HR Solutions (Reporting Analyst),Non-FinTech,13,Nonfintech
326,Morgan Stanley,"Private Wealth Management Asia, Client Service Representative (Associate/Manager), Singapore",﻿Payments,21,Fintech
327,Morgan Stanley,BDC Finance/Operations Executive Director,﻿Payments,29,Fintech
328,Morgan Stanley,"Branch Manager, Non Producing",﻿Payments,17,Fintech
329,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
330,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
331,Morgan Stanley,Human Resources Risk Manager,Blockchain,23,Fintech
332,Morgan Stanley,IED Market Risk - VP,Blockchain,36,Fintech
333,Morgan Stanley,Administrative Assistant,Non-FinTech,10,Nonfintech
334,Morgan Stanley,XVA Market Risk Manager Ã Associate,Blockchain,56,Fintech
335,Morgan Stanley,Full Stack Developer 3126530,﻿Payments,60,Fintech
336,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
337,Morgan Stanley,Credit Research - Healthcare Vice President,Lending,16,Fintech
338,Morgan Stanley,Investment Platforms Project Manager,﻿Payments,25,Fintech
339,Morgan Stanley,Credit Desk Strat. / Quant - Associate,Non-FinTech,9,Nonfintech
340,Morgan Stanley,Bank Compliance Risk Assessment Officer,Blockchain,30,Fintech
341,Morgan Stanley,Residential Mortgage Compliance Lead,﻿Payments,26,Fintech
342,Morgan Stanley,Wealth Management Analyst,Non-FinTech,13,Nonfintech
343,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
344,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
345,Morgan Stanley,Trading Operations Risk - Vice President,Blockchain,30,Fintech
346,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
347,Morgan Stanley,"Equity Research Ã Internet & Media, Analyst/Associate Ã Hong Kong",﻿Payments,16,Fintech
348,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
349,Morgan Stanley,"PWM Investment Counsellor, Executive Director, Singapore",Lending,37,Fintech
