Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count,Category
13429,JP Morgan,Vulnerability Management - Cybersecurity,Blockchain,44,Fintech
13430,JP Morgan,Java / Python Full Stack Engineer - Fixed Income Financing,Blockchain,41,Fintech
13431,JP Morgan,Business Banking - Business Relationship Manager III,﻿Payments,26,Fintech
13432,JP Morgan,Fund accounting AVP,﻿Payments,35,Fintech
13433,JP Morgan,Test Automation Engineer,Blockchain,36,Fintech
13434,JP Morgan,Java Mobile Software Engineer,Blockchain,33,Fintech
13435,JP Morgan,Market Data Services Engineer - Corporate & Investment Bank,﻿Payments,49,Fintech
13436,JP Morgan,Campus Recruitment Coordinator- Corporate & Investment Bank,﻿Payments,30,Fintech
13437,JP Morgan,"Executive Director/Vice President, Digital Platform Services Strategy - Business Technologist",﻿Payments,34,Fintech
13438,JP Morgan,Chase Wealth Management Private Client Investment Associate - (Exxon Bldg.) NY,Lending,26,Fintech
13439,JP Morgan,CCB - Relationship Banker*-NYC Midtown East-Madison Ave and 48th St,Big Data,54,Fintech
13440,JP Morgan,CCB - Private Client Banker- Hamilton Marketplace Branch- NJ Princeton Market,﻿Payments,30,Fintech
13441,JP Morgan,AM Client Technology - QA - Digital Tools,Blockchain,23,Fintech
13442,JP Morgan,CCB - Private Client Banker- Hamilton Square Branch- NJ Princeton Market,﻿Payments,30,Fintech
13443,JP Morgan,Houston South East Market  (Medical Branch)- Lead Teller - Operations Specialist Trainee,Big Data,31,Fintech
13444,JP Morgan,CIB â Global Securitized Products - Non-Agency - RMBS Structuring â ED,﻿Payments,18,Fintech
13445,JP Morgan,"Wealth Management, Cash Operations - Transaction Processing Specialist",﻿Payments,31,Fintech
13446,JP Morgan,"Chase Wealth Management - Financial Advisor - Glenview, IL (Glenview River Dr)",Big Data,29,Fintech
13447,JP Morgan,Java Developer / Software Engineer - Treasury Services,Blockchain,36,Fintech
13448,JP Morgan,Big Data Software Engineer / Technical Analyst,﻿Payments,42,Fintech
13449,JP Morgan,Python Software Engineer â Interest Rate Risk Technology,Blockchain,80,Fintech
13450,JP Morgan,Python Software Engineer - Digital Investment Bank,﻿Payments,48,Fintech
13451,JP Morgan,Cybersecurity & Technology Controls - Auditor - Associate,﻿Payments,44,Fintech
13452,JP Morgan,CCB - Assistant Branch Manager Trainee Ops-Lower Eastside,Big Data,32,Fintech
13453,JP Morgan,CCB - Private Client Banker*-City Hall-FIDI,﻿Payments,30,Fintech
13454,JP Morgan,"Web Front End Developer - National Sales & Support - Consumer Bank - Columbus, OH",Non-FinTech,11,Nonfintech
13455,JP Morgan,"Commercial Banker - Middle Market Banking & Specialized Industries - Vice President - Miami, Florida",﻿Payments,38,Fintech
13456,JP Morgan,CIB-Treasury Services-Global Payments Strategy VAM/eVAM Controls Product Manager â Executive Director,﻿Payments,59,Fintech
13457,JP Morgan,"Teller (Part-Time) - Cable Rd. - Lima, OH",Big Data,42,Fintech
13458,JP Morgan,Automation Engineer,Blockchain,32,Fintech
13459,JP Morgan,Product Analyst II - CCB Deposit Product,Big Data,29,Fintech
13460,JP Morgan,Product Analyst II - CCB Deposit Product,Big Data,22,Fintech
13461,JP Morgan,Product Analyst Sr. - Global Wealth Management Deposit Product,Big Data,35,Fintech
13462,JP Morgan,Sr. Full Stack Developer,Blockchain,37,Fintech
13463,JP Morgan,Java / AWS Software Engineer,Blockchain,33,Fintech
13464,JP Morgan,"Asset Management - Multi Asset Solutions, Trade Coordinator, Associate",﻿Payments,26,Fintech
13465,JP Morgan,Software Engineer - Associate,﻿Payments,54,Fintech
13466,JP Morgan,"CIB-Treasury Services Innovation Concept Manager, Executive Director",﻿Payments,50,Fintech
13467,JP Morgan,"Chase Consumer Bank - Market Director, Wealth Management - Baltimore, Maryland",Big Data,36,Fintech
13468,JP Morgan,"Treasury Services- Network and Partnerships Manager, VP",﻿Payments,48,Fintech
13469,JP Morgan,Java Software Engineer- Site Reliability Engineering,Blockchain,38,Fintech
13470,JP Morgan,Full Stack Java Developer,Blockchain,34,Fintech
13471,JP Morgan,Java / Big Data Software Engineer,Non-FinTech,13,Nonfintech
13472,JP Morgan,CIB Treasury - FVA - Product Controller - Associate,﻿Payments,36,Fintech
13473,JP Morgan,Credit  Support Senior Specialist - Dealer Services,﻿Payments,21,Fintech
13474,JP Morgan,Credit  Support Senior Specialist - Dealer Services,﻿Payments,21,Fintech
13475,JP Morgan,Chase Wealth Management - Private Client Advisor - Baton Rouge (Towne Center),Big Data,29,Fintech
